Date,Open,High,Low,Close,Adj Close,Volume
28-05-2025,0.226161003,0.227657005,0.217216,0.220781997,0.220781997,1203668237
29-05-2025,0.220781997,0.227834001,0.214582995,0.214833006,0.214833006,1561923823
30-05-2025,0.214837,0.216299996,0.192135006,0.193435997,0.193435997,2466944860
31-05-2025,0.193442002,0.195352003,0.186063007,0.192579001,0.192579001,1529424800
01-06-2025,0.192578003,0.194780007,0.187268004,0.193632007,0.193632007,939280532
02-06-2025,0.193632007,0.196064994,0.188871995,0.195390001,0.195390001,1007324701
03-06-2025,0.195396006,0.200250998,0.192190006,0.193138003,0.193138003,1062603805
04-06-2025,0.193139002,0.196909994,0.187426999,0.188235998,0.188235998,779255975
05-06-2025,0.188236997,0.192376003,0.169232994,0.171627998,0.171627998,1718819551
06-06-2025,0.171627,0.184253007,0.170184001,0.178973004,0.178973004,1247591143
07-06-2025,0.178969994,0.188573003,0.178033993,0.185167998,0.185167998,836264651
08-06-2025,0.185167998,0.186750993,0.181223005,0.184173003,0.184173003,689923176
09-06-2025,0.184173003,0.195425004,0.180454001,0.194932997,0.194932997,1177667689
10-06-2025,0.194932997,0.198300004,0.189887002,0.198282003,0.198282003,1400212022
11-06-2025,0.198282003,0.204331994,0.191594005,0.193011001,0.193011001,1630500550
12-06-2025,0.193011001,0.193618998,0.180531994,0.181547999,0.181547999,1254786513
13-06-2025,0.181547999,0.181547999,0.170791999,0.180380002,0.180380002,1883491191
14-06-2025,0.180381998,0.180442005,0.174978003,0.178467005,0.178467005,777784368
15-06-2025,0.178467005,0.178575993,0.171757996,0.175669,0.175669,760010233
16-06-2025,0.175669,0.181015,0.172698006,0.172698006,0.172698006,1204577500
17-06-2025,0.172696993,0.175895005,0.164303005,0.169668004,0.169668004,1273076742
18-06-2025,0.169668004,0.172060996,0.164379001,0.170632005,0.170632005,970407002
19-06-2025,0.170633003,0.171847001,0.167935997,0.170963004,0.170963004,542107459
20-06-2025,0.170960993,0.171881005,0.158867002,0.162475005,0.162475005,1099193747
21-06-2025,0.162475005,0.164232999,0.151779994,0.154168993,0.154168993,813191920
22-06-2025,0.154197007,0.157249004,0.143774003,0.151322007,0.151322007,1841758169
23-06-2025,0.151320994,0.164991006,0.149158001,0.164362997,0.164362997,1346692450
24-06-2025,0.164362997,0.167427003,0.162027001,0.165730998,0.165730998,1072291444
25-06-2025,0.165733993,0.167365,0.162992001,0.164578006,0.164578006,839304495
26-06-2025,0.164578006,0.167904004,0.158370003,0.159986004,0.159986004,916611999
27-06-2025,0.159986004,0.162597001,0.157464996,0.161068007,0.161068007,638328531
28-06-2025,0.161069006,0.164897993,0.160631001,0.163691998,0.163691998,400589442
29-06-2025,0.163691998,0.169775993,0.162711993,0.169602007,0.169602007,543918306
30-06-2025,0.169602007,0.169793993,0.162626997,0.165135995,0.165135995,838074434
01-07-2025,0.165135995,0.166152,0.157063007,0.157750994,0.157750994,687516950
02-07-2025,0.157750994,0.172438994,0.157036006,0.168720007,0.168720007,1151068316
03-07-2025,0.168716997,0.175191,0.167758003,0.172033995,0.172033995,1280276705
04-07-2025,0.172032997,0.172661006,0.161581993,0.162871003,0.162871003,1005469062
05-07-2025,0.162872002,0.164955005,0.162385002,0.164271995,0.164271995,444944070
06-07-2025,0.164271995,0.174711004,0.163270995,0.171985999,0.171985999,1092475819
07-07-2025,0.171985999,0.176728994,0.165904,0.167965993,0.167965993,1238654782
08-07-2025,0.167967007,0.171776995,0.166131005,0.170989007,0.170989007,852173993
09-07-2025,0.170989007,0.184786007,0.170102999,0.180755004,0.180755004,1657071962
10-07-2025,0.180755004,0.195741996,0.178920999,0.194793001,0.194793001,1741316233
11-07-2025,0.194786996,0.212934002,0.191776007,0.201187998,0.201187998,3859031770
12-07-2025,0.201187998,0.206106007,0.192243993,0.197328001,0.197328001,1645230470
13-07-2025,0.197328001,0.203609005,0.196262002,0.198595002,0.198595002,1460860601
14-07-2025,0.198595002,0.210389003,0.195529997,0.197430998,0.197430998,2642688097
15-07-2025,0.197430998,0.199178994,0.188750997,0.199162006,0.199162006,2108544271
16-07-2025,0.199162006,0.219732001,0.195721,0.212746993,0.212746993,2865490732
17-07-2025,0.212746993,0.222055003,0.207381994,0.218027994,0.218027994,3524415111
18-07-2025,0.218020007,0.252537012,0.216755003,0.236129001,0.236129001,6909551812
19-07-2025,0.236138999,0.256633013,0.236082003,0.241493002,0.241493002,4276687151
20-07-2025,0.241493002,0.276966006,0.240242004,0.272929013,0.272929013,6077966743
21-07-2025,0.272929013,0.286756009,0.26493001,0.271719009,0.271719009,6129417334
22-07-2025,0.271719009,0.274408996,0.258195013,0.270379007,0.270379007,4399161114
23-07-2025,0.270377994,0.270877004,0.232087001,0.240649,0.240649,4422461834
24-07-2025,0.240663007,0.246478006,0.223278999,0.231974006,0.231974006,4245820253
25-07-2025,0.231974006,0.236811996,0.221982002,0.236811996,0.236811996,3502127057
26-07-2025,0.236808002,0.239864007,0.233184993,0.235514,0.235514,1499470254
27-07-2025,0.235513002,0.243573993,0.234739006,0.240803003,0.240803003,1975404021
28-07-2025,0.240803003,0.248214006,0.224932,0.225226,0.225226,2900653769
29-07-2025,0.225232005,0.232448995,0.218312994,0.223793,0.223793,2219777443
30-07-2025,0.223793,0.226144001,0.211007997,0.219899997,0.219899997,2295849760
31-07-2025,0.219899997,0.225512996,0.209217995,0.209873006,0.209873006,1775122878
01-08-2025,0.209854007,0.212035,0.196777001,0.201215997,0.201215997,3400021925
02-08-2025,0.201215997,0.203218997,0.189627007,0.191213995,0.191213995,2202580408
03-08-2025,0.191213995,0.199928001,0.189541996,0.198863998,0.198863998,1383820507
04-08-2025,0.198863,0.211188003,0.198652998,0.210412994,0.210412994,1808700824
05-08-2025,0.210412994,0.210878,0.196447,0.199738994,0.199738994,1606059547
06-08-2025,0.199739993,0.207018003,0.195740998,0.205255002,0.205255002,1273212150
07-08-2025,0.205255002,0.222873002,0.203543007,0.222389996,0.222389996,2060907648
08-08-2025,0.222390994,0.232235998,0.220015004,0.230214,0.230214,2813209061
09-08-2025,0.230219007,0.246097997,0.229957998,0.240325004,0.240325004,3167912055
10-08-2025,0.240325004,0.243129998,0.229977995,0.234099001,0.234099001,2275130914
11-08-2025,0.234102994,0.241408005,0.221561998,0.222550005,0.222550005,2818659723
12-08-2025,0.222551003,0.237800002,0.219197005,0.235666007,0.235666007,2721898586
13-08-2025,0.235666007,0.249657005,0.231601998,0.245202005,0.245202005,4066944826
14-08-2025,0.245202005,0.254779011,0.218133003,0.223893002,0.223893002,5430971906
15-08-2025,0.223894,0.232849002,0.220670998,0.228613004,0.228613004,3284438866
16-08-2025,0.228613004,0.235411003,0.226396993,0.231245995,0.231245995,2012788849
17-08-2025,0.231244996,0.242348,0.228726,0.234565005,0.234565005,2308822296
18-08-2025,0.234565005,0.235532001,0.220458999,0.222424999,0.222424999,3221260023
19-08-2025,0.222424001,0.225562006,0.208966002,0.209048003,0.209048003,2965240262
20-08-2025,0.20905,0.222721994,0.208529994,0.221450001,0.221450001,3332092604
21-08-2025,0.221450001,0.224030003,0.214099005,0.214748994,0.214748994,2146370687
22-08-2025,0.214746997,0.241724998,0.208750993,0.240590006,0.240590006,4553800466
23-08-2025,0.240587994,0.240593001,0.229270995,0.236009002,0.236009002,2633509850
24-08-2025,0.236020997,0.244501993,0.228374004,0.231797993,0.231797993,3243609548
25-08-2025,0.231803998,0.234109998,0.207201004,0.209823996,0.209823996,3601938683
26-08-2025,0.209823996,0.219824001,0.208245993,0.218465,0.218465,2273426712
27-08-2025,0.218462005,0.223265007,0.216316,0.218918994,0.218918994,2291320646
28-08-2025,0.218925998,0.225878,0.217236996,0.224340007,0.224340007,1900714656
29-08-2025,0.224337995,0.224628001,0.210038006,0.214035004,0.214035004,2575985418
30-08-2025,0.214034006,0.218419999,0.212001994,0.215979993,0.215979993,1092661803
31-08-2025,0.215981007,0.220945999,0.213562995,0.213815004,0.213815004,1044727824
01-09-2025,0.213811994,0.219625995,0.205452994,0.210253999,0.210253999,2726790335
02-09-2025,0.210252002,0.215262994,0.206999004,0.214818001,0.214818001,2083072411
03-09-2025,0.214818001,0.223240003,0.212659001,0.220559999,0.220559999,1806352077
04-09-2025,0.220559999,0.220891997,0.210788995,0.212476999,0.212476999,1600512717
05-09-2025,0.212468997,0.220651001,0.212105006,0.217904001,0.217904001,2429307965
06-09-2025,0.217904001,0.218725994,0.212551996,0.215885997,0.215885997,1195532222
07-09-2025,0.215885997,0.229052007,0.215866998,0.228442997,0.228442997,1913782985
08-09-2025,0.228442997,0.243640006,0.226950005,0.241880998,0.241880998,3729000010
09-09-2025,0.241880998,0.248530999,0.234089002,0.240689993,0.240689993,4216668251
10-09-2025,0.240691006,0.248039007,0.236970007,0.245395005,0.245395005,2829953595
11-09-2025,0.245391995,0.256855994,0.244302005,0.255658001,0.255658001,3760658715
12-09-2025,0.25565201,0.27838701,0.255165011,0.275427997,0.275427997,4643519794
13-09-2025,0.27542001,0.305642009,0.273146987,0.289463997,0.289463997,9024886352
